customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,account.Charges.daily,account.Charges.Total
0002-ORFBO,0,Female,0,1,1,9,1,No,DSL,No,Yes,No,Yes,Yes,No,One year,1,Mailed check,65.6,2.1866666666666665,593.3
0003-MKNFE,0,Male,0,0,0,9,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,59.9,1.9966666666666666,542.4
0004-TLHLJ,1,Male,0,0,0,4,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,73.9,2.4633333333333334,280.85
0011-IGKFF,1,Male,1,1,0,13,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.0,3.2666666666666666,1237.85
0013-EXCHZ,1,Female,1,1,0,3,1,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,83.9,2.796666666666667,267.4
0013-MHZWF,0,Female,0,0,1,9,1,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),69.4,2.3133333333333335,571.45
0013-SMEOE,0,Female,1,1,0,71,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.7,3.6566666666666667,7904.25
0014-BMAQU,0,Male,0,1,0,63,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,1,Credit card (automatic),84.65,2.8216666666666668,5377.8
0015-UOCOJ,0,Female,1,0,0,7,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,48.2,1.6066666666666667,340.35
0016-QLJIS,0,Female,0,1,1,65,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,90.45,3.015,5957.9
0017-DINOC,0,Male,0,0,0,54,0,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,0,Credit card (automatic),45.2,1.5066666666666668,2460.55
0017-IUDMW,0,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.8,3.893333333333333,8456.75
0018-NYROU,0,Female,0,1,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,68.95,2.2983333333333333,351.5
0019-EFAEP,0,Female,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),101.3,3.3766666666666665,7261.25
0019-GFNTW,0,Female,0,0,0,56,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),45.05,1.5016666666666665,2560.1
0020-INWCK,0,Female,0,1,1,71,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,1,Credit card (automatic),95.75,3.191666666666667,6849.4
0020-JDNXP,0,Female,0,1,1,34,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Mailed check,61.25,2.0416666666666665,1993.2
0021-IKXGC,0,Female,1,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,72.1,2.4033333333333333,72.1
0022-TCJCI,1,Male,1,0,0,45,1,No,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),62.7,2.0900000000000003,2791.5
